postalcode,work_location,employee_count
C0A 1R0,"Sherwood Business Centre",4
C0A 1R0,"SirLouisHenryDaviesLawCourt",2
C0A 1R0,"Southern Kings & Queens RSC",8
C0A 1R0,"Summerside",1
C0A 1R0,"Tyne Valley Child/Youth Dev Hl",1
C0A 1R0,"VisitorInfo.Centre WoodIslands",3
C0A 1S0,"185 Beach Grove Road",1
C0A 1S0,"51-53 Water Street",1
C0A 1S0,"548 Main St., Montague",3
C0A 1S0,"Atlantic Technology Centre",3
C0A 1S0,"Bridgetown Goverment Garage",3
C0A 1S0,"Brudenell Admin Office",1
C0A 1S0,"Cardigan Bus Depot",1
C0A 1S0,"Charlottetown",1
C0A 1S0,"Ch'Town Government Garage",1
C0A 1S0,"Coles Building",2
C0A 1S0,"Confed Trail - Eastern Region",1
C0A 1S0,"Crowbush Golf Course",11
C0A 1S0,"Dundarave",2
C0A 1S0,"Elmer Blanchard Building",1
C0A 1S0,"Frank Gaudet Nursery",1
C0A 1S0,"Georgetown Government Garage",9
C0A 1S0,"Highway Safety Charlottetown",1
C0A 1S0,"Montague Cannabis Store",1
C0A 1S0,"Montague Liquor Store",1
C0A 1S0,"Morell Library",3
C0A 1S0,"Mt. Stewart Highway Labs",2
C0A 1S0,"Oak Tree Place",1
C0A 1S0,"Provincial Admin Building",13
C0A 1S0,"Research Station",2
C0A 1S0,"Sherwood Business Centre",4
C0A 1S0,"Summerside Government Garage",1
C0A 1S0,"Tyne Valley Child/Youth Dev Hl",1
C0A 1T0,"185 Beach Grove Road",1
C0A 1T0,"22 Hunt Court",1
C0A 1T0,"40A Burns Ave.",1
C0A 1T0,"51-53 Water Street",1
C0A 1T0,"548 Main St., Montague",2
C0A 1T0,"Atlantic Technology Centre",1
C0A 1T0,"Borden Scale House",1
C0A 1T0,"Bridgetown Goverment Garage",1
C0A 1T0,"Brudenell Admin Office",2
C0A 1T0,"Charlottetown",1
C0A 1T0,"Ch'Town Government Garage",14
C0A 1T0,"Confederation Centre",1
C0A 1T0,"Crowbush Golf Course",12
C0A 1T0,"Education Technology Centre",1
