postalcode,work_location,employee_count,latitude,longitude
C0A 1G0,Kings County Courthouse,1,46.2512,-62.6163
C0A 1G0,Montague Library,2,46.2512,-62.6163
C0A 1G0,Montague Liquor Store,2,46.2512,-62.6163
C0A 1G0,Mt. Stewart Highway Labs,2,46.2512,-62.6163
C0A 1G0,Murchison House,1,46.2512,-62.6163
C0A 1G0,Pamure Island Park,1,46.2512,-62.6163
C0A 1G0,Potato Service Building,2,46.2512,-62.6163
C0A 1G0,Provincial Admin Building,9,46.2512,-62.6163
C0A 1G0,Provincial Correctional Centre,2,46.2512,-62.6163
C0A 1G0,Red Point Park,1,46.2512,-62.6163
C0A 1G0,Red Road Homes,2,46.2512,-62.6163
C0A 1G0,Research Station,1,46.2512,-62.6163
C0A 1G0,Sherwood Business Centre,1,46.2512,-62.6163
C0A 1G0,Souris Visitor Information Cen,2,46.2512,-62.6163
C0A 1G0,Southern Kings & Queens RSC,1,46.2512,-62.6163
C0A 1G0,VisitorInfo.Centre WoodIslands,1,46.2512,-62.6163
C0A 1G0,Wood Islands Scale House,1,46.2512,-62.6163
C0A 1H0,16 Garfield St.,1,46.235,-63.2168
C0A 1H0,185 Beach Grove Road,2,46.235,-63.2168
C0A 1H0,40 Enman Crescent,1,46.235,-63.2168
C0A 1H0,40A Burns Ave.,1,46.235,-63.2168
C0A 1H0,40B Burns Ave.,2,46.235,-63.2168
C0A 1H0,40C Burns Ave.,1,46.235,-63.2168
C0A 1H0,"548 Main St., Montague",1,46.235,-63.2168
C0A 1H0,557 North River Rd.,1,46.235,-63.2168
C0A 1H0,Access PEI - Summerside,1,46.235,-63.2168
C0A 1H0,Argyle Shore Park,1,46.235,-63.2168
C0A 1H0,Atlantic Technology Centre,4,46.235,-63.2168
C0A 1H0,Beaconsfield Historic House,1,46.235,-63.2168
C0A 1H0,Cabot Beach Park,1,46.235,-63.2168
C0A 1H0,Charlottetown Cannabis Store,2,46.235,-63.2168
C0A 1H0,Chelton Park,1,46.235,-63.2168
C0A 1H0,Ch'Town Government Garage,12,46.235,-63.2168
C0A 1H0,Coles Building,4,46.235,-63.2168
C0A 1H0,Cornwall Library,1,46.235,-63.2168
C0A 1H0,Cornwall Liquor Store,5,46.235,-63.2168
C0A 1H0,Customs House,2,46.235,-63.2168
C0A 1H0,Elmer Blanchard Building,2,46.235,-63.2168
C0A 1H0,Forestry Depot Wellington,1,46.235,-63.2168
C0A 1H0,Forestry Queens,1,46.235,-63.2168
C0A 1H0,Government House,1,46.235,-63.2168
C0A 1H0,Highway Safety Charlottetown,2,46.235,-63.2168
C0A 1H0,Holman Centre (Summerside),2,46.235,-63.2168
C0A 1H0,Innovation PEI,1,46.235,-63.2168
C0A 1H0,J. Angus MacLean Bldg,1,46.235,-63.2168
C0A 1H0,Liquor Control Commission,2,46.235,-63.2168
C0A 1H0,North Rustico Liquor Store,1,46.235,-63.2168
C0A 1H0,Oak Tree Place,2,46.235,-63.2168
C0A 1H0,Provincial Admin Building,31,46.235,-63.2168
C0A 1H0,Provincial Correctional Centre,7,46.235,-63.2168
